NODE_KEY,PARENT_KEY.NODE_KEY,SO_ITEM_POS,PRODUCT_GUID.NODE_KEY,NOTE_GUID.NODE_KEY,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,ITEM_ATP_STATUS,OP_ITEM_POS,DATAAGING,DUMMY
5EF3FD3648631ED5AFBB06AAB728F3EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000020,5EF3FD3648631ED5AFBB0617389913E6,5EF3FD3648631ED5AFBB06AAB719B3EF,ARS,583.10,490.00,93.10,,,00000000,
5EF3FD3648631ED5AFBB06AAB72913EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000030,5EF3FD3648631ED5AFBB0617389933E6,5EF3FD3648631ED5AFBB06AAB719D3EF,EUR,830.62,698.00,132.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72933EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000040,5EF3FD3648631ED5AFBB0617389953E6,5EF3FD3648631ED5AFBB06AAB719F3EF,RUB,330.82,278.00,52.82,,,00000000,
5EF3FD3648631ED5AFBB06AAB72953EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000050,5EF3FD3648631ED5AFBB0617389973E6,5EF3FD3648631ED5AFBB06AAB71A13EF,USD,117.81,99.00,18.81,,,00000000,
5EF3FD3648631ED5AFBB06AAB72973EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000060,5EF3FD3648631ED5AFBB0617389993E6,5EF3FD3648631ED5AFBB06AAB71A33EF,EUR,404.60,340.00,64.60,,,00000000,
5EF3FD3648631ED5AFBB06AAB72993EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000070,5EF3FD3648631ED5AFBB06173899B3E6,5EF3FD3648631ED5AFBB06AAB71A53EF,EUR,117.81,99.00,18.81,,,00000000,
5EF3FD3648631ED5AFBB06AAB729B3EF,5EF3FD3648631ED5AFBB06AAB714D3EF,0000000080,5EF3FD3648631ED5AFBB06173899D3E6,5EF3FD3648631ED5AFBB06AAB71A73EF,JPY,283.22,238.00,45.22,,,00000000,
5EF3FD3648631ED5AFBB06AAB729D3EF,5EF3FD3648631ED5AFBB06AAB714F3EF,0000000010,5EF3FD3648631ED5AFBB0617389B93E6,5EF3FD3648631ED5AFBB06AAB71A93EF,EUR,499.76,419.97,79.79,,,00000000,
5EF3FD3648631ED5AFBB06AAB729F3EF,5EF3FD3648631ED5AFBB06AAB714F3EF,0000000020,5EF3FD3648631ED5AFBB0617389BB3E6,5EF3FD3648631ED5AFBB06AAB71AB3EF,INR,460.53,387.00,73.53,,,00000000,
5EF3FD3648631ED5AFBB06AAB72A13EF,5EF3FD3648631ED5AFBB06AAB714F3EF,0000000030,5EF3FD3648631ED5AFBB0617389BD3E6,5EF3FD3648631ED5AFBB06AAB71AD3EF,PLN,317.73,267.00,50.73,,,00000000,
5EF3FD3648631ED5AFBB06AAB72A33EF,5EF3FD3648631ED5AFBB06AAB714F3EF,0000000040,5EF3FD3648631ED5AFBB0617389BF3E6,5EF3FD3648631ED5AFBB06AAB71AF3EF,ARS,201.11,169.00,32.11,,,00000000,
5EF3FD3648631ED5AFBB06AAB72A53EF,5EF3FD3648631ED5AFBB06AAB714F3EF,0000000050,5EF3FD3648631ED5AFBB0617389C13E6,5EF3FD3648631ED5AFBB06AAB71B13EF,CNY,224.91,189.00,35.91,,,00000000,
5EF3FD3648631ED5AFBB06AAB72A73EF,5EF3FD3648631ED5AFBB06AAB71513EF,0000000010,5EF3FD3648631ED5AFBB0617389CB3E6,5EF3FD3648631ED5AFBB06AAB71B33EF,USD,213.96,179.80,34.16,,,00000000,
5EF3FD3648631ED5AFBB06AAB72A93EF,5EF3FD3648631ED5AFBB06AAB71513EF,0000000020,5EF3FD3648631ED5AFBB0617389CD3E6,5EF3FD3648631ED5AFBB06AAB71B53EF,EUR,95.08,79.90,15.18,,,00000000,
5EF3FD3648631ED5AFBB06AAB72AB3EF,5EF3FD3648631ED5AFBB06AAB71513EF,0000000030,5EF3FD3648631ED5AFBB0617389CF3E6,5EF3FD3648631ED5AFBB06AAB71B73EF,USD,164.22,138.00,26.22,,,00000000,
5EF3FD3648631ED5AFBB06AAB72AD3EF,5EF3FD3648631ED5AFBB06AAB71513EF,0000000040,5EF3FD3648631ED5AFBB0617389D13E6,5EF3FD3648631ED5AFBB06AAB71B93EF,EUR,91.63,77.00,14.63,,,00000000,
5EF3FD3648631ED5AFBB06AAB72AF3EF,5EF3FD3648631ED5AFBB06AAB71513EF,0000000050,5EF3FD3648631ED5AFBB0617389D33E6,5EF3FD3648631ED5AFBB06AAB71BB3EF,JPY,196.35,165.00,31.35,,,00000000,
5EF3FD3648631ED5AFBB06AAB72B13EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000010,5EF3FD3648631ED5AFBB0617389F53E6,5EF3FD3648631ED5AFBB06AAB71BD3EF,EUR,5950.00,5000.00,950.00,,,00000000,
5EF3FD3648631ED5AFBB06AAB72B33EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000020,5EF3FD3648631ED5AFBB0617389F73E6,5EF3FD3648631ED5AFBB06AAB71BF3EF,JPY,35700.00,30000.00,5700.00,,,00000000,
5EF3FD3648631ED5AFBB06AAB72B53EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000030,5EF3FD3648631ED5AFBB0617389F93E6,5EF3FD3648631ED5AFBB06AAB71C13EF,EUR,59500.00,50000.00,9500.00,,,00000000,
5EF3FD3648631ED5AFBB06AAB72B73EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000040,5EF3FD3648631ED5AFBB0617389DB3E6,5EF3FD3648631ED5AFBB06AAB71C33EF,USD,31.77,26.70,5.07,,,00000000,
5EF3FD3648631ED5AFBB06AAB72B93EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000050,5EF3FD3648631ED5AFBB0617389DD3E6,5EF3FD3648631ED5AFBB06AAB71C53EF,EUR,16.42,13.80,2.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72BB3EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000060,5EF3FD3648631ED5AFBB0617389DF3E6,5EF3FD3648631ED5AFBB06AAB71C73EF,GBP,92.82,78.00,14.82,,,00000000,
5EF3FD3648631ED5AFBB06AAB72BD3EF,5EF3FD3648631ED5AFBB06AAB71533EF,0000000070,5EF3FD3648631ED5AFBB0617389E13E6,5EF3FD3648631ED5AFBB06AAB71C93EF,EUR,8.21,6.90,1.31,,,00000000,
5EF3FD3648631ED5AFBB06AAB72BF3EF,5EF3FD3648631ED5AFBB06AAB71553EF,0000000010,5EF3FD3648631ED5AFBB0617389D53E6,5EF3FD3648631ED5AFBB06AAB71CB3EF,EUR,103.53,87.00,16.53,,,00000000,
5EF3FD3648631ED5AFBB06AAB72C13EF,5EF3FD3648631ED5AFBB06AAB71553EF,0000000020,5EF3FD3648631ED5AFBB0617389D73E6,5EF3FD3648631ED5AFBB06AAB71CD3EF,MXN,40.46,34.00,6.46,,,00000000,
5EF3FD3648631ED5AFBB06AAB72C33EF,5EF3FD3648631ED5AFBB06AAB71553EF,0000000030,5EF3FD3648631ED5AFBB0617389D93E6,5EF3FD3648631ED5AFBB06AAB71CF3EF,ARS,106.74,89.70,17.04,,,00000000,
5EF3FD3648631ED5AFBB06AAB72C53EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000010,5EF3FD3648631ED5AFBB0617389833E6,5EF3FD3648631ED5AFBB06AAB71D13EF,EUR,547.40,460.00,87.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB72C73EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000020,5EF3FD3648631ED5AFBB0617389853E6,5EF3FD3648631ED5AFBB06AAB71D33EF,GBP,1017.45,855.00,162.45,,,00000000,
5EF3FD3648631ED5AFBB06AAB72C93EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000030,5EF3FD3648631ED5AFBB0617389873E6,5EF3FD3648631ED5AFBB06AAB71D53EF,EUR,410.55,345.00,65.55,,,00000000,
5EF3FD3648631ED5AFBB06AAB72CB3EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000040,5EF3FD3648631ED5AFBB0617389893E6,5EF3FD3648631ED5AFBB06AAB71D73EF,USD,949.62,798.00,151.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72CD3EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000050,5EF3FD3648631ED5AFBB06173898B3E6,5EF3FD3648631ED5AFBB06AAB71D93EF,CAD,1023.40,860.00,163.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB72CF3EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000060,5EF3FD3648631ED5AFBB06173898D3E6,5EF3FD3648631ED5AFBB06AAB71DB3EF,MXN,1463.70,1230.00,233.70,,,00000000,
5EF3FD3648631ED5AFBB06AAB72D13EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000070,5EF3FD3648631ED5AFBB06173896D3E6,5EF3FD3648631ED5AFBB06AAB71DD3EF,EUR,3412.92,2868.00,544.92,,,00000000,
5EF3FD3648631ED5AFBB06AAB72D33EF,5EF3FD3648631ED5AFBB06AAB71573EF,0000000080,5EF3FD3648631ED5AFBB06173896F3E6,5EF3FD3648631ED5AFBB06AAB71DF3EF,EUR,1486.31,1249.00,237.31,,,00000000,
5EF3FD3648631ED5AFBB06AAB72D53EF,5EF3FD3648631ED5AFBB06AAB71593EF,0000000010,5EF3FD3648631ED5AFBB06173899F3E6,5EF3FD3648631ED5AFBB06AAB71E13EF,EUR,21.42,18.00,3.42,,,00000000,
5EF3FD3648631ED5AFBB06AAB72D73EF,5EF3FD3648631ED5AFBB06AAB71593EF,0000000020,5EF3FD3648631ED5AFBB0617389A13E6,5EF3FD3648631ED5AFBB06AAB71E33EF,EUR,16.66,14.00,2.66,,,00000000,
5EF3FD3648631ED5AFBB06AAB72D93EF,5EF3FD3648631ED5AFBB06AAB71593EF,0000000030,5EF3FD3648631ED5AFBB0617389A33E6,5EF3FD3648631ED5AFBB06AAB71E53EF,ARS,26.18,22.00,4.18,,,00000000,
5EF3FD3648631ED5AFBB06AAB72DB3EF,5EF3FD3648631ED5AFBB06AAB71593EF,0000000040,5EF3FD3648631ED5AFBB0617389A53E6,5EF3FD3648631ED5AFBB06AAB71E73EF,BRL,49.98,42.00,7.98,,,00000000,
5EF3FD3648631ED5AFBB06AAB72DD3EF,5EF3FD3648631ED5AFBB06AAB71593EF,0000000050,5EF3FD3648631ED5AFBB0617389A73E6,5EF3FD3648631ED5AFBB06AAB71E93EF,CAD,19.04,16.00,3.04,,,00000000,
5EF3FD3648631ED5AFBB06AAB72DF3EF,5EF3FD3648631ED5AFBB06AAB71593EF,0000000060,5EF3FD3648631ED5AFBB0617389A93E6,5EF3FD3648631ED5AFBB06AAB71EB3EF,CHF,61.88,52.00,9.88,,,00000000,
5EF3FD3648631ED5AFBB06AAB72E13EF,5EF3FD3648631ED5AFBB06AAB715B3EF,0000000010,5EF3FD3648631ED5AFBB06173898F3E6,5EF3FD3648631ED5AFBB06AAB71ED3EF,EUR,1975.40,1660.00,315.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB72E33EF,5EF3FD3648631ED5AFBB06AAB715B3EF,0000000020,5EF3FD3648631ED5AFBB0617389913E6,5EF3FD3648631ED5AFBB06AAB71EF3EF,ARS,1166.20,980.00,186.20,,,00000000,
5EF3FD3648631ED5AFBB06AAB72E53EF,5EF3FD3648631ED5AFBB06AAB715B3EF,0000000030,5EF3FD3648631ED5AFBB0617389933E6,5EF3FD3648631ED5AFBB06AAB71F13EF,EUR,830.62,698.00,132.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB72E73EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000010,5EF3FD3648631ED5AFBB0617389B33E6,5EF3FD3648631ED5AFBB06AAB71F33EF,ARS,168.74,141.80,26.94,,,00000000,
5EF3FD3648631ED5AFBB06AAB72E93EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000020,5EF3FD3648631ED5AFBB0617389B53E6,5EF3FD3648631ED5AFBB06AAB71F53EF,ZAR,194.45,163.40,31.05,,,00000000,
5EF3FD3648631ED5AFBB06AAB72EB3EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000030,5EF3FD3648631ED5AFBB0617389B73E6,5EF3FD3648631ED5AFBB06AAB71F73EF,USD,361.28,303.60,57.68,,,00000000,
5EF3FD3648631ED5AFBB06AAB72ED3EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000040,5EF3FD3648631ED5AFBB0617389AB3E6,5EF3FD3648631ED5AFBB06AAB71F93EF,USD,16.64,13.98,2.66,,,00000000,
5EF3FD3648631ED5AFBB06AAB72EF3EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000050,5EF3FD3648631ED5AFBB0617389AD3E6,5EF3FD3648631ED5AFBB06AAB71FB3EF,EUR,21.40,17.98,3.42,,,00000000,
5EF3FD3648631ED5AFBB06AAB72F13EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000060,5EF3FD3648631ED5AFBB0617389AF3E6,5EF3FD3648631ED5AFBB06AAB71FD3EF,USD,15.46,12.99,2.47,,,00000000,
5EF3FD3648631ED5AFBB06AAB72F33EF,5EF3FD3648631ED5AFBB06AAB715D3EF,0000000070,5EF3FD3648631ED5AFBB0617389B13E6,5EF3FD3648631ED5AFBB06AAB71FF3EF,JPY,49.98,42.00,7.98,,,00000000,
5EF3FD3648631ED5AFBB06AAB72F53EF,5EF3FD3648631ED5AFBB06AAB715F3EF,0000000010,5EF3FD3648631ED5AFBB0617389D33E6,5EF3FD3648631ED5AFBB06AAB72013EF,JPY,65.45,55.00,10.45,,,00000000,
5EF3FD3648631ED5AFBB06AAB72F73EF,5EF3FD3648631ED5AFBB06AAB715F3EF,0000000020,5EF3FD3648631ED5AFBB0617389D53E6,5EF3FD3648631ED5AFBB06AAB72033EF,EUR,103.53,87.00,16.53,,,00000000,
5EF3FD3648631ED5AFBB06AAB72F93EF,5EF3FD3648631ED5AFBB06AAB715F3EF,0000000030,5EF3FD3648631ED5AFBB0617389D73E6,5EF3FD3648631ED5AFBB06AAB72053EF,MXN,121.38,102.00,19.38,,,00000000,
5EF3FD3648631ED5AFBB06AAB72FB3EF,5EF3FD3648631ED5AFBB06AAB715F3EF,0000000040,5EF3FD3648631ED5AFBB0617389D93E6,5EF3FD3648631ED5AFBB06AAB72073EF,ARS,35.58,29.90,5.68,,,00000000,
5EF3FD3648631ED5AFBB06AAB72FD3EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000010,5EF3FD3648631ED5AFBB06173896D3E6,5EF3FD3648631ED5AFBB06AAB72093EF,EUR,2275.28,1912.00,363.28,,,00000000,
5EF3FD3648631ED5AFBB06AAB72FF3EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000020,5EF3FD3648631ED5AFBB06173896F3E6,5EF3FD3648631ED5AFBB06AAB720B3EF,EUR,2972.62,2498.00,474.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB73013EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000030,5EF3FD3648631ED5AFBB0617389713E6,5EF3FD3648631ED5AFBB06AAB720D3EF,USD,3736.60,3140.00,596.60,,,00000000,
5EF3FD3648631ED5AFBB06AAB73033EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000040,5EF3FD3648631ED5AFBB0617389733E6,5EF3FD3648631ED5AFBB06AAB720F3EF,EUR,5890.50,4950.00,940.50,,,00000000,
5EF3FD3648631ED5AFBB06AAB73053EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000050,5EF3FD3648631ED5AFBB0617389753E6,5EF3FD3648631ED5AFBB06AAB72113EF,USD,711.62,598.00,113.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB73073EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000060,5EF3FD3648631ED5AFBB0617389773E6,5EF3FD3648631ED5AFBB06AAB72133EF,EUR,4757.62,3998.00,759.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB73093EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000070,5EF3FD3648631ED5AFBB0617389793E6,5EF3FD3648631ED5AFBB06AAB72153EF,JPY,2735.81,2299.00,436.81,,,00000000,
5EF3FD3648631ED5AFBB06AAB730B3EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000080,5EF3FD3648631ED5AFBB06173897B3E6,5EF3FD3648631ED5AFBB06AAB72173EF,EUR,1092.42,918.00,174.42,,,00000000,
5EF3FD3648631ED5AFBB06AAB730D3EF,5EF3FD3648631ED5AFBB06AAB71613EF,0000000090,5EF3FD3648631ED5AFBB06173897D3E6,5EF3FD3648631ED5AFBB06AAB72193EF,MXN,531.93,447.00,84.93,,,00000000,
5EF3FD3648631ED5AFBB06AAB730F3EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000010,5EF3FD3648631ED5AFBB06173897F3E6,5EF3FD3648631ED5AFBB06AAB721B3EF,ARS,1998.01,1679.00,319.01,,,00000000,
5EF3FD3648631ED5AFBB06AAB73113EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000020,5EF3FD3648631ED5AFBB0617389813E6,5EF3FD3648631ED5AFBB06AAB721D3EF,USD,1827.84,1536.00,291.84,,,00000000,
5EF3FD3648631ED5AFBB06AAB73133EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000030,5EF3FD3648631ED5AFBB0617389833E6,5EF3FD3648631ED5AFBB06AAB721F3EF,EUR,547.40,460.00,87.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB73153EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000040,5EF3FD3648631ED5AFBB0617389853E6,5EF3FD3648631ED5AFBB06AAB72213EF,GBP,678.30,570.00,108.30,,,00000000,
5EF3FD3648631ED5AFBB06AAB73173EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000050,5EF3FD3648631ED5AFBB0617389873E6,5EF3FD3648631ED5AFBB06AAB72233EF,EUR,1231.65,1035.00,196.65,,,00000000,
5EF3FD3648631ED5AFBB06AAB73193EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000060,5EF3FD3648631ED5AFBB0617389893E6,5EF3FD3648631ED5AFBB06AAB72253EF,USD,949.62,798.00,151.62,,,00000000,
5EF3FD3648631ED5AFBB06AAB731B3EF,5EF3FD3648631ED5AFBB06AAB71633EF,0000000070,5EF3FD3648631ED5AFBB06173898B3E6,5EF3FD3648631ED5AFBB06AAB72273EF,CAD,1023.40,860.00,163.40,,,00000000,
5EF3FD3648631ED5AFBB06AAB731D3EF,5EF3FD3648631ED5AFBB06AAB71653EF,0000000010,5EF3FD3648631ED5AFBB06173898F3E6,5EF3FD3648631ED5AFBB06AAB72293EF,EUR,987.70,830.00,157.70,,,00000000,
5EF3FD3648631ED5AFBB06AAB731F3EF,5EF3FD3648631ED5AFBB06AAB71653EF,0000000020,5EF3FD3648631ED5AFBB0617389913E6,5EF3FD3648631ED5AFBB06AAB722B3EF,ARS,1166.20,980.00,186.20,,,00000000,
5EF3FD3648631ED5AFBB06AAB73213EF,5EF3FD3648631ED5AFBB06AAB71653EF,0000000030,5EF3FD3648631ED5AFBB0617389933E6,5EF3FD3648631ED5AFBB06AAB722D3EF,EUR,415.31,349.00,66.31,,,00000000,
5EF3FD3648631ED5AFBB06AAB73233EF,5EF3FD3648631ED5AFBB06AAB71653EF,0000000040,5EF3FD3648631ED5AFBB0617389953E6,5EF3FD3648631ED5AFBB06AAB722F3EF,RUB,165.41,139.00,26.41,,,00000000,
5EF3FD3648631ED5AFBB06AAB73253EF,5EF3FD3648631ED5AFBB06AAB71653EF,0000000050,5EF3FD3648631ED5AFBB0617389973E6,5EF3FD3648631ED5AFBB06AAB72313EF,USD,117.81,99.00,18.81,,,00000000,
5EF3FD3648631ED5AFBB06AAB73273EF,5EF3FD3648631ED5AFBB06AAB71653EF,0000000060,5EF3FD3648631ED5AFBB0617389993E6,5EF3FD3648631ED5AFBB06AAB72333EF,EUR,606.90,510.00,96.90,,,00000000,
5EF3FD3648631ED5AFBB06AAB73293EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000010,5EF3FD3648631ED5AFBB06173899B3E6,5EF3FD3648631ED5AFBB06AAB72353EF,EUR,353.43,297.00,56.43,,,00000000,
5EF3FD3648631ED5AFBB06AAB732B3EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000020,5EF3FD3648631ED5AFBB06173899D3E6,5EF3FD3648631ED5AFBB06AAB72373EF,JPY,283.22,238.00,45.22,,,00000000,
5EF3FD3648631ED5AFBB06AAB732D3EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000030,5EF3FD3648631ED5AFBB06173899F3E6,5EF3FD3648631ED5AFBB06AAB72393EF,EUR,10.71,9.00,1.71,,,00000000,
5EF3FD3648631ED5AFBB06AAB732F3EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000040,5EF3FD3648631ED5AFBB0617389A13E6,5EF3FD3648631ED5AFBB06AAB723B3EF,EUR,24.99,21.00,3.99,,,00000000,
5EF3FD3648631ED5AFBB06AAB73313EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000050,5EF3FD3648631ED5AFBB0617389A33E6,5EF3FD3648631ED5AFBB06AAB723D3EF,ARS,26.18,22.00,4.18,,,00000000,
5EF3FD3648631ED5AFBB06AAB73333EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000060,5EF3FD3648631ED5AFBB0617389A53E6,5EF3FD3648631ED5AFBB06AAB723F3EF,BRL,16.66,14.00,2.66,,,00000000,
5EF3FD3648631ED5AFBB06AAB73353EF,5EF3FD3648631ED5AFBB06AAB71673EF,0000000070,5EF3FD3648631ED5AFBB0617389A73E6,5EF3FD3648631ED5AFBB06AAB72413EF,CAD,38.08,32.00,6.08,,,00000000,
